Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
219.0788,27.05,SynNeg 03/24,,,,,,,"C00643, C01017, C19716, C09985","0.928182368367965, 0.896182166633044, 0.825766671135486, 0.723550565604369"
238.8908,12.6,SynNeg 03/24,,,,,,,C02466,0.75
222.0784,45.6,SynNeg 03/24,,,,,,,"C18953, C14433","0.760045973097225, 0.659673566906098"
390.1388,12.89,SynNeg 03/24,,,,,,,C08337,0.75
103.0404,38.84,SynNeg 03/24,,,"C05984, C01089, C06001, C01089","0.39, 0.41, 0.36, 0.41",,,"C14601, C06001, C05984, C03197, C01991, C01188, C01089, C00989","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
299.0634,50.71,SynNeg 03/24,,,,,,,"C07125, C11566","0.756497725795971, 0.727493985522714"
301.0205,12.33,SynNeg 03/24,,,,,,,C17722,0.75
297.0623,49.56,SynNeg 03/24,,,,,,,"C00994, C19787","0.760984336624359, 0.75"
311.092,52.6,SynNeg 03/24,,,,,,,"C07582, C18841, C10045, C10024, C17472","0.835148844170963, 0.548988254446744, 0.516117458503064, 0.47994105731432, 0.430837207965223"
144.0453,3.06,SynNeg 03/24,,,,,,,"C06338, C06343, C19434, C08493, C06415, C06324, C02796","0.8211975635178, 0.805665971588688, 0.75, 0.59094186527504, 0.562465389320394, 0.561960371726232, 0.551257256908039"
177.0413,49.57,SynNeg 03/24,,,,,,,"C05394, C03269, C02779, C20903, C20680, C20251, C19679, C17577, C16737, C06892, C05410, C03926, C03383, C03107, C02692, C02669, C01216, C01115, C01040, C00691, C00273, C00204, C00198","0.75, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
281.0744,12.9,SynNeg 03/24,,,,,,,C19119,0.75
137.0248,53.6,SynNeg 03/24,,,"C00156, C00805","0.3, 0.57","C00156, C00805, C05585, C16700","51.0, 22.0, 21.0, 13.0","C18316, C10832, C05585, C00805, C00587, C00156, C16700","0.820426229508197, 0.782554016564499, 0.755996639515319, 0.755996639515319, 0.755996639515319, 0.755996639515319, 0.75"
146.0458,18.64,SynNeg 03/24,,,,,C12269,9.0,"C00979, C03790, C00302, C00217, C00025, C05938, C03618, C12269, C05941, C05574","0.823518164435946, 0.762332695984704, 0.75, 0.75, 0.75, 0.709763636926359, 0.585474678600157, 0.47306183975964, 0.355541424708983, 0.174085550845349"
146.0455,14.24,SynNeg 03/24,,,,,C12269,29.0,"C05574, C05938, C03618, C00979","0.767369664365688, 0.75, 0.0207206847102872, 0.000702212124172458"
388.9421,11.44,SynNeg 03/24,,,,,,,"C02884, C00119","0.0, 0.0"
315.0552,54.97,SynNeg 03/24,,,,,C10084,5.0,"C10185, C08999, C10119, C10188, C10084, C10176, C10120, C10022, C04443, C19739","0.770435684647303, 0.763615145228216, 0.4862510359393, 0.480934645897806, 0.480934645897806, 0.466619293200711, 0.464337135524362, 0.397679637484857, 0.386891255742118, 0.208754311821854"
613.1859,16.54,SynNeg 03/24,,,,,,,C10805,0.75
713.4876,2.5,SynNeg 03/24,,,,,,,C15940,0.0
209.1178,5.04,SynNeg 03/24,,,,,,,"C16317, C08491","0.75, 0.75"
301.0847,53.24,SynNeg 03/24,,,,,,,C14853,0.75
462.1196,47.7,SynNeg 03/24,,,,,,,C12141,0.75
264.1249,5.37,SynNeg 03/24,,,,,,,"C04335, C11281","0.819245594713656, 0.75"
505.1356,42.57,SynNeg 03/24,,,,,,,C02081,0.75
241.0738,4.58,SynNeg 03/24,,,,,,,C01727,0.75
442.9815,16.35,SynNeg 03/24,,,,,,,C16616,0.75
203.0832,49.39,SynNeg 03/24,,,,,"C00525, C00078","100.0, 75.0","C00806, C00525, C00078, C07839, C14916, C10743","0.840712345818717, 0.840712345818717, 0.837784315944325, 0.7846089797556, 0.756358467819232, 0.49769076022709"
384.9748,36.6,SynNeg 03/24,,,,,,,"C11125, C08082","0.75, 0.457281905506488"
239.0162,13.42,SynNeg 03/24,,,,,,,"C01420, C00491, C18745","0.75, 0.75, 0.0302955141621777"
468.0647,16.41,SynNeg 03/24,,,,,,,C05125,0.75
114.0557,14.56,SynNeg 03/24,,,,,,,"C18170, C16435, C00763, C00148","0.0, 0.0, 0.0, 0.0"
403.1218,12.35,SynNeg 03/24,,,,,,,"C09798, C09779","0.75, 0.75"
201.0383,20.48,SynNeg 03/24,,,,,,,C20581,0.75
165.0554,1.29,SynNeg 03/24,,,,,C05607,100.0,"C01456, C11457, C01744, C01198, C05581, C10712, C11380, C12206, C05607, C02201, C03080, C02363","0.799521757473798, 0.75, 0.75, 0.75, 0.611905337802098, 0.601560054372809, 0.597071895131349, 0.587603554487509, 0.569490027422564, 0.55880148003624, 0.409777389524136, 0.269852755792126"
233.0431,1.31,SynNeg 03/24,,,,,,,"C07731, C21001, C20124","0.788262411347518, 0.408114461201676, 0.0340376414234493"
385.0924,50.08,SynNeg 03/24,,,,,,,"C09924, C09922, C17958, C10446, C20504, C20502, C03503","0.804580143381232, 0.790818343546155, 0.77822574515642, 0.768172256447055, 0.756760469573107, 0.736462485781844, 0.730061780357746"
429.1592,49.47,SynNeg 03/24,,,,,,,C10884,0.75
275.09,16.56,SynNeg 03/24,,,,,,,"C05282, C20912, C01425, C09926, C09584, C09582, C20407, C09489, C17483, C17838, C19251, C19327, C14318","0.883390451429922, 0.875320169261491, 0.86938666981801, 0.340509432385998, 0.328558457293524, 0.317922673790806, 0.301335727624637, 0.160059574346258, 0.10318103791117, 0.102649248736035, 0.069274566224804, 0.0373672157166499, 0.0373672157166499"
543.23,13.01,SynNeg 03/24,,,,,,,C11700,0.75
293.0555,41.29,SynNeg 03/24,,,,,,,"C17136, C17133, C17132","0.0, 0.0, 0.0"
433.1016,13.21,SynNeg 03/24,,,,,,,C11601,0.75
381.1531,2.13,SynNeg 03/24,,,,,,,C18650,0.75
317.1517,4.69,SynNeg 03/24,,,,,,,C07571,0.75
491.2735,16.77,SynNeg 03/24,,,,,,,C10010,0.75
417.1555,44.79,SynNeg 03/24,,,,,,,"C09435, C09493, C10889","0.798074063057704, 0.75, 0.724236154180323"
317.0802,19.13,SynNeg 03/24,,,,,,,"C20073, C12398, C14286","0.804891015417331, 0.75, 0.585901804028278"
243.0625,16.7,SynNeg 03/24,,,,,,,"C16745, C00299, C02067","0.785331316231943, 0.785331316231943, 0.75"
248.0026,4.2,SynNeg 03/24,,,,,,,C18508,0.75
216.9819,45.72,SynNeg 03/24,,,,,,,C16199,0.75
232.0594,43.76,SynNeg 03/24,,,,,,,C10654,0.75
245.1154,48.94,SynNeg 03/24,,,,,,,"C20424, C19972, C17912, C09606, C09601, C09476, C17085, C09605, C09300, C17490, C09545, C09394, C09287, C02206, C09292","0.80266604303087, 0.80266604303087, 0.661652672700808, 0.661652672700808, 0.651446698343509, 0.631998790567974, 0.627321522092763, 0.611993938755109, 0.605375603862686, 0.595048369613811, 0.589940617894491, 0.589940617894491, 0.589940617894491, 0.589940617894491, 0.589014693280789"
472.1645,46.02,SynNeg 03/24,,,,,,,"C03479, C00234, C07228","0.771928696919056, 0.75, 0.59329196174414"
117.0343,1.36,SynNeg 03/24,,,,,,,C14512,0.0
337.0511,43.03,SynNeg 03/24,,,,,,,"C04677, C18837","0.849788532205505, 0.673773626343178"
285.0825,13.87,SynNeg 03/24,,,,,,,"C03003, C18829","0.75, 0.355974105692244"
451.1326,44.32,SynNeg 03/24,,,,,,,C19432,0.75
436.1449,44.61,SynNeg 03/24,,,,,,,C08054,0.75
413.1076,43.93,SynNeg 03/24,,,,,,,"C09769, C16999","0.75, 0.401725371063998"
492.1315,11.06,SynNeg 03/24,,,,,,,C07022,0.848383913150753
488.2017,11.16,SynNeg 03/24,,,,,,,C17376,0.0
295.0952,43.33,SynNeg 03/24,,,,,,,"C03995, C19068, C10035, C14720, C10054","0.75, 0.424363296176359, 0.414528585266736, 0.40376610967569, 0.0863203172692343"
515.1502,13.84,SynNeg 03/24,,,,,,,C18235,0.75
105.0191,15.73,SynNeg 03/24,,,C00258,0.52,,,C00258,0.0
254.0147,51.73,SynNeg 03/24,,,,,,,C14333,0.75
403.146,16.77,SynNeg 03/24,,,,,,,C12220,0.75
476.1517,28.66,SynNeg 03/24,,,,,,,C11737,0.75
283.07,38.83,SynNeg 03/24,,,,,,,C01762,0.75
562.2118,43.07,SynNeg 03/24,,,,,,,C14125,0.75
249.0384,50.16,SynNeg 03/24,,,,,,,"C07734, C01691","0.782948603675583, 0.75"
166.0503,16.59,SynNeg 03/24,,,,,"C12323, C03493, C00250, C05831","40.0, 39.0, 37.0, 25.0","C06051, C14171, C14170, C00250, C20821, C05831, C03986, C12323, C03493","0.862218324829932, 0.854166666666667, 0.854166666666667, 0.85297087585034, 0.83750531462585, 0.812074829931973, 0.79594494047619, 0.75531462585034, 0.75"
417.0507,13.0,SynNeg 03/24,,,,,,,C10992,0.75
244.0606,45.56,SynNeg 03/24,,,,,,,"C19105, C10694","0.75, 0.75"
131.0719,54.51,SynNeg 03/24,,,,,,,"C06103, C03499, C07834, C03264, C13773","0.792397660818713, 0.75, 0.666848935786516, 0.477732265128321, 0.0316308912203472"
267.0973,42.49,SynNeg 03/24,,,,,,,"C11571, C19461","0.845359446331355, 0.75"
158.0821,54.7,SynNeg 03/24,,,,,,,"C10850, C10151, C08269, C03087","0.0, 0.0, 0.0, 0.0"
471.1683,16.73,SynNeg 03/24,,,,,,,"C18681, C00664","0.75, 0.0"
421.1876,50.94,SynNeg 03/24,,,,,,,"C17053, C16809, C09801","0.756506090808416, 0.75124584717608, 0.75"
394.9782,3.41,SynNeg 03/24,,,,,,,"C18552, C17116","0.0, 0.0"
213.0155,4.94,SynNeg 03/24,,,,,,,"C17101, C16637, C11437, C00673, C00672","0.75, 0.57781137580457, 0.57781137580457, 0.545205844509082, 0.545205844509082"
399.1772,46.89,SynNeg 03/24,,,,,,,"C10621, C10555, C14668","0.818827744315372, 0.818827744315372, 0.75"
390.1574,1.21,SynNeg 03/24,,,,,,,C13780,0.75
265.0508,16.75,SynNeg 03/24,,,,,,,"C08506, C18252","0.885788581779933, 0.573769007268639"
416.0567,16.55,SynNeg 03/24,,,,,,,C20799,0.75
475.2599,12.29,SynNeg 03/24,,,,,,,C09420,0.75
322.0697,14.09,SynNeg 03/24,,,,,,,C10959,0.75
111.0199,19.11,SynNeg 03/24,,,,,,,"C18474, C00106","0.781529084578051, 0.75"
346.0746,24.93,SynNeg 03/24,,,,,,,C12222,0.75
159.0932,49.51,SynNeg 03/24,,,,,,,"C16906, C10126, C07147, C02548, C00398","0.0, 0.0, 0.0, 0.0, 0.0"
217.0308,14.11,SynNeg 03/24,,,,,,,C06721,0.75
618.0569,14.25,SynNeg 03/24,,,,,,,C00976,0.75
520.0747,16.5,SynNeg 03/24,,,,,,,C11435,0.75
427.1383,37.6,SynNeg 03/24,,,,,C15181,10.0,"C11743, C10730, C15181","0.75, 0.734836780790429, 0.721058399217142"
342.0864,16.15,SynNeg 03/24,,,,,,,C15772,0.75
470.1445,46.51,SynNeg 03/24,,,,,,,C03204,0.75
227.1043,48.9,SynNeg 03/24,,,,,,,C13733,0.75
116.0508,49.47,SynNeg 03/24,,,,,,,"C16074, C00463","0.0, 0.0"
159.0662,53.72,SynNeg 03/24,,,C02656,0.52,C02656,43.0,"C16657, C04687, C02656, C07040","0.840118646589964, 0.804780876494024, 0.75, 0.173960126241523"
183.0555,50.18,SynNeg 03/24,,,,,,,C18737,0.75
381.1325,45.76,SynNeg 03/24,,,,,,,"C17765, C08359","0.75, 0.463995943735861"
394.1272,41.18,SynNeg 03/24,,,,,,,C12474,0.75
191.019,52.44,SynNeg 03/24,,,"C00158, C00451","0.6, 0.49","C00311, C00158","61.0, 53.0","C21091, C03921, C02780, C00679, C04575, C00158, C21095, C20896, C20890, C20889, C03600, C04617, C00451, C00311","0.85929648241206, 0.85929648241206, 0.85929648241206, 0.85929648241206, 0.781407035175879, 0.781407035175879, 0.777638190954774, 0.777638190954774, 0.777638190954774, 0.777638190954774, 0.777638190954774, 0.75, 0.75, 0.75"
148.0435,19.19,SynNeg 03/24,,,,,C00073,65.0,"C01733, C00855, C00073, C07418","0.75, 0.75, 0.75, 0.0"
368.1752,1.2,SynNeg 03/24,,,,,,,C11154,0.75
390.1481,3.99,SynNeg 03/24,,,,,,,C11622,0.75
272.0904,16.45,SynNeg 03/24,,,,,,,C15089,0.75
104.0353,14.0,SynNeg 03/24,,,,,,,"C00740, C00716, C00065","0.0, 0.0, 0.0"
433.1542,14.16,SynNeg 03/24,,,,,,,"C11191, C09401","0.75, 0.00921317404146944"
455.1313,48.48,SynNeg 03/24,,,,,,,C10886,0.75
147.0662,39.92,SynNeg 03/24,,,,,,,"C21062, C21055, C21054, C21045, C06471, C06007, C04104, C03348, C02104, C00522, C00418","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
444.1236,18.24,SynNeg 03/24,,,,,,,C13825,0.75
451.1007,53.34,SynNeg 03/24,,,,,,,C10217,0.75
292.1036,18.31,SynNeg 03/24,,,,,,,C02713,0.75
151.0402,50.38,SynNeg 03/24,,,"C00642, C05593, C05852, C01984","0.4, 0.44, 0.19, 0.55",C14088,10.0,C17900,0.75
437.1469,16.59,SynNeg 03/24,,,,,,,"C09465, C17484","0.892326732673267, 0.75"
277.0956,52.58,SynNeg 03/24,,,,,,,"C08561, C20577","0.75, 0.721606654519968"
133.0144,17.71,SynNeg 03/24,,,C00711,0.53,C00497,100.0,"C00497, C00149, C03064, C00711","0.77759250039479, 0.77759250039479, 0.77326750811799, 0.75"
287.0889,42.53,SynNeg 03/24,,,,,,,"C12435, C15230, C17412, C10292, C09471, C16187, C07558","0.75, 0.515522681801343, 0.512736330635363, 0.512736330635363, 0.406153351067715, 0.374260346952489, 0.241064011330463"
257.0574,54.57,SynNeg 03/24,,,,,,,"C17369, C07910, C03433, C03177","0.75, 0.647384912913461, 0.629000753893354, 0.532242495370277"
630.2417,52.64,SynNeg 03/24,,,,,,,C18070,0.75
327.0978,40.99,SynNeg 03/24,,,,,,,C05995,0.75
348.1243,13.99,SynNeg 03/24,,,,,,,C12019,0.75
531.0834,12.34,SynNeg 03/24,,,,,,,"C18636, C12446, C11923, C11920","0.75, 0.75, 0.75, 0.75"
241.1198,50.97,SynNeg 03/24,,,,,,,"C15278, C15069, C14898, C14225","0.0, 0.0, 0.0, 0.0"
347.0778,14.43,SynNeg 03/24,,,,,,,"C19592, C19591","0.0, 0.0"
394.1968,16.8,SynNeg 03/24,,,,,,,C03256,0.75
313.0572,46.41,SynNeg 03/24,,,,,,,"C06939, C07590, C18052, C18051, C05308, C02569, C00341","0.75, 0.0617483714274284, 0.0, 0.0, 0.0, 0.0, 0.0"
308.1011,14.26,SynNeg 03/24,,,,,"C19910, C00270, C19909","1.0, 1.0, 1.0","C21053, C03525, C19910, C19909, C00270","0.794456066091713, 0.785787205271914, 0.75, 0.75, 0.75"
449.1651,12.88,SynNeg 03/24,,,,,,,C15080,0.75
512.2268,26.01,SynNeg 03/24,,,,,,,C07032,0.75
371.1467,13.02,SynNeg 03/24,,,,,,,"C10545, C10640, C10563","0.846885813148789, 0.75, 0.75"
273.0919,52.94,SynNeg 03/24,,,,,,,C20820,0.75
329.1358,13.0,SynNeg 03/24,,,,,,,"C15073, C18422, C11854, C11867, C18037, C09173, C11871","0.75, 0.507027539779589, 0.160626843991486, 0.128139913446303, 0.100431820927058, 0.0945327439168031, 0.0538307274866313"
131.035,49.31,SynNeg 03/24,,,,,,,"C00900, C02674, C04106, C06010, C04181, C03589, C00489","0.808298081825008, 0.768407803650094, 0.75, 0.719691169572123, 0.719691169572123, 0.719691169572123, 0.706311275286448"
245.1155,47.61,SynNeg 03/24,,,,,,,"C20424, C19972, C17912, C09606, C09601, C17085, C09545, C09394, C09287, C02206, C09605, C09300, C09292, C17490, C09476","0.75, 0.75, 0.71335088417188, 0.71335088417188, 0.708952573123323, 0.697516964397074, 0.696505352855906, 0.696505352855906, 0.696505352855906, 0.696505352855906, 0.685597541455484, 0.685597541455484, 0.676273122032542, 0.67570134159623, 0.631449761174324"
433.1491,53.17,SynNeg 03/24,,,,,,,"C09401, C09469","0.75, 0.615001470097594"
206.0284,54.65,SynNeg 03/24,,,,,,,C11628,0.0
203.0566,13.12,SynNeg 03/24,,,,,,,C18342,0.0
214.1455,5.09,SynNeg 03/24,,,,,,,C18830,0.75
275.0775,49.5,SynNeg 03/24,,,,,,,C08512,0.75
405.1682,44.8,SynNeg 03/24,,,,,,,C09275,0.75
385.1979,12.39,SynNeg 03/24,,,,,,,"C15185, C14651, C09966, C09927, C08022","0.0, 0.0, 0.0, 0.0, 0.0"
316.9505,13.09,SynNeg 03/24,,,,,,,"C14714, C06636","0.75, 0.75"
576.0751,54.14,SynNeg 03/24,,,,,,,"C04916, C04896","0.778380914408457, 0.75"
259.0791,12.34,SynNeg 03/24,,,,,,,C20386,0.75
226.084,16.45,SynNeg 03/24,,,,,C00881,56.0,"C00881, C03621, C10679, C04081","0.75, 0.216422485425311, 0.0, 0.0"
275.0231,17.61,SynNeg 03/24,,,,,,,"C04485, C15627","0.860229961549837, 0.266993367943091"
291.0449,54.54,SynNeg 03/24,,,,,,,"C19070, C19235, C14423, C19408, C19234, C14424","0.846988949636288, 0.730587701786356, 0.694843497434191, 0.685143097519447, 0.681396754667919, 0.659724605291095"
366.0813,40.31,SynNeg 03/24,,,,,,,C08109,0.75
326.1104,14.18,SynNeg 03/24,,,,,,,C07104,0.75
193.0659,13.34,SynNeg 03/24,,,,,,,"C11431, C11432, C11429, C11430","0.842298119469027, 0.821971792035398, 0.813882743362832, 0.75"
446.0826,43.11,SynNeg 03/24,,,,,,,C05691,0.75
443.1493,50.37,SynNeg 03/24,,,,,,,"C06973, C06570, C07815","0.788769606051549, 0.768576594708703, 0.75"
455.2401,10.91,SynNeg 03/24,,,,,,,"C11717, C05427","0.776724137931034, 0.0725630384065798"
145.0977,12.74,SynNeg 03/24,,,,,,,"C20277, C16440, C05161, C01186, C01142, C00739, C00047","0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75"
115.0031,17.72,SynNeg 03/24,,,"C00122, C01384","0.4, 0.4",,,"C02150, C01384, C00122","0.0, 0.0, 0.0"
191.0196,12.52,SynNeg 03/24,,,"C00158, C00451","0.6, 0.49","C00158, C00311","68.0, 21.0","C21091, C03921, C00679, C04575, C02780, C00158, C04617, C00451, C03600, C00311, C21095, C20896, C20890, C20889","0.817754424778761, 0.817754424778761, 0.817754424778761, 0.809181415929204, 0.799847898230089, 0.789615597345133, 0.782701880530973, 0.782701880530973, 0.781872234513274, 0.775788163716814, 0.75, 0.75, 0.75, 0.75"
249.0556,15.07,SynNeg 03/24,,,,,,,C00669,0.75
193.0354,52.43,SynNeg 03/24,,,C00191,0.29,C00191,33.0,"C01062, C16245, C15673, C06473, C03342, C00618, C21059, C21047, C21037, C21034, C08350, C08348, C06477, C06472, C02024, C00905, C00558, C00333, C00191, C20248, C19137","0.836991869918699, 0.826829268292683, 0.826829268292683, 0.826829268292683, 0.826829268292683, 0.826829268292683, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.374163917986422, 0.235993414076638"
130.0872,25.79,SynNeg 03/24,,,,,,,"C21096, C21092, C16647, C16439, C16434, C08263, C06418, C02486, C02378, C01933, C01570, C00407, C00123","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
433.1484,54.32,SynNeg 03/24,,,,,,,"C09401, C09469","0.75, 0.614198900858844"
395.2545,12.39,SynNeg 03/24,,,,,,,C14640,0.75
491.2686,11.27,SynNeg 03/24,,,,,,,C10010,0.75
299.0696,42.77,SynNeg 03/24,,,,,,,C13414,0.75
285.059,49.23,SynNeg 03/24,,,,,,,C13546,0.75
250.1088,54.05,SynNeg 03/24,,,,,C01657,4.0,C01657,0.75
347.1057,54.63,SynNeg 03/24,,,,,,,C01897,0.75
409.014,43.49,SynNeg 03/24,,,,,,,"C08065, C18014, C18013","0.75, 0.0, 0.0"
145.0614,14.03,SynNeg 03/24,,,,,C00819,3.0,"C21029, C05100, C16673, C00819, C00303, C00064","0.773995535714286, 0.773995535714286, 0.75, 0.75, 0.75, 0.75"
572.227,51.6,SynNeg 03/24,,,,,,,C11684,0.75
241.0831,42.46,SynNeg 03/24,,,,,,,"C19431, C00214","0.75, 0.0"
421.2299,11.53,SynNeg 03/24,,,,,,,C07874,0.75
564.1569,10.94,SynNeg 03/24,,,,,,,"C07029, C20489","0.75, 0.0"
230.1395,5.12,SynNeg 03/24,,,,,,,"C04301, C02862","0.817056694146135, 0.75"
119.0498,1.28,SynNeg 03/24,,,,,,,"C05627, C20782, C07113, C02083, C00601","0.75, 0.0303447659577153, 0.0303447659577153, 0.0303447659577153, 0.0303447659577153"
171.04,16.53,SynNeg 03/24,,,,,,,"C05565, C13739, C20892, C20893","0.830374950139609, 0.756880733944954, 0.75, 0.724260837933673"
162.9128,10.98,SynNeg 03/24,,,,,,,C06899,0.0
262.0612,16.44,SynNeg 03/24,,,,,,,C07650,0.0
312.0424,53.59,SynNeg 03/24,,,,,,,C14580,0.75
132.0297,13.59,SynNeg 03/24,,,,,"C00049, C19911","100.0, 52.0","C16433, C00049","0.75, 0.75"
349.0618,13.01,SynNeg 03/24,,,,,,,C18628,0.838217703349282
349.1164,43.54,SynNeg 03/24,,,,,,,"C02538, C18884","0.75, 0.54379453950964"
135.0293,14.22,SynNeg 03/24,,,,,C00262,0.0,"C01620, C00262","0.75, 0.0330841658052193"
425.1582,43.92,SynNeg 03/24,,,,,,,"C09261, C09116","0.765011223344557, 0.75"
378.133,14.05,SynNeg 03/24,,,,,,,"C09336, C12224","0.760019154265508, 0.749504240559815"
366.082,46.2,SynNeg 03/24,,,,,,,C08109,0.75
444.1572,16.8,SynNeg 03/24,,,,,,,C00101,0.75
481.1351,50.45,SynNeg 03/24,,,,,,,C09775,0.75
296.1014,42.42,SynNeg 03/24,,,,,,,C05342,0.75
218.1045,44.88,SynNeg 03/24,,,,,C00864,35.0,"C00864, C15545, C00371","0.757130677414354, 0.363787319738728, 0.363787319738728"
379.0179,12.28,SynNeg 03/24,,,,,,,C08068,0.75
182.0278,54.05,SynNeg 03/24,,,,,,,C17239,0.75
303.0839,41.3,SynNeg 03/24,,,,,"C12270, C12270","14.0, 8.0","C12270, C19013, C18354, C18356, C18360, C08740, C08761","0.85736381772081, 0.839289708881089, 0.829409426793831, 0.79258808095952, 0.772511859098747, 0.733825029915144, 0.68374069708156"
315.0841,18.65,SynNeg 03/24,,,,,,,"C17126, C16925, C16914, C14969, C11706, C10457, C10204","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
407.1754,49.44,SynNeg 03/24,,,,,,,C09579,0.75
173.0721,47.35,SynNeg 03/24,,,,,,,"C02937, C02693, C13008","0.872317596566524, 0.872317596566524, 0.75"
144.0666,46.94,SynNeg 03/24,,,,,,,"C05825, C04076, C03656, C03239, C02946","0.0, 0.0, 0.0, 0.0, 0.0"
269.0554,14.74,SynNeg 03/24,,,,,,,"C15296, C07905","0.77575553473117, 0.513090925617061"
407.1039,13.87,SynNeg 03/24,,,,,,,C09011,0.0
292.1428,28.32,SynNeg 03/24,,,,,,,C07325,0.75
149.025,47.73,SynNeg 03/24,,,,,C02137,100.0,"C02137, C03057, C10812","0.955678670360111, 0.795508508112386, 0.75"
173.009,22.75,SynNeg 03/24,,,,,C00417,29.0,"C05422, C02341, C00417, C06747","0.75, 0.106509012910847, 0.106509012910847, 0.0"
159.1024,5.09,SynNeg 03/24,,,,,,,"C16651, C16650, C16649, C20793, C03865, C03864, C17527","0.860349127182045, 0.860349127182045, 0.860349127182045, 0.821695760598504, 0.75, 0.75, 0.335697322891682"
261.0889,52.77,SynNeg 03/24,,,,,,,C18260,0.75
240.0498,20.77,SynNeg 03/24,,,,,,,C04204,0.75
